ID;Nome;Incorporadora;Bairro;Cidade;UF;Endereco;Status;Area_Min_m2;Area_Max_m2;Preco_Min;Preco_Max;Quartos;Suites;Vagas;Previsao_Entrega;Contato_Nome;Telefone;Email;WhatsApp;Comissao_PJ_%;Comissao_PF_%;Total_Unidades;Andares;Unid_por_Andar;Estoque;Data_Lancamento;Descricao;Website;Qtd_Arquivos;Apresentacoes;Books;Folders;Tabelas;URL_Orulo
"19676";"Edifício Greca Tower";"Bouw";"";"";"";"Rafael Francisco Greca";"Em construção";"155.39";"317.25";"2750000";"";"";"";"";"";"Ana Ribas";"(41) 99514-0014";"comercial@construtorabouw.com.br";"(41) 99514-0014";"5";"";"34";"";"";"11";"01/08/2023";"O Edifício Greca Tower foi projetado para encantar os clientes com luxo, conforto e sofisticação. Todo o projeto foi pensado para atender os gostos mais exigentes, desde a escolha do projeto, localiza";"";"4";"";"Edifcio_Greca_Tower_Book_Book_edificio_greca_tower.pdf";"";"Edifcio_Greca_Tower_Tabela_tabela_edificio_greca_tower_marco_2026_disponibilidade.pdf | Edifcio_Greca_Tower_Tabela_tabela_edificio_greca_tower_marco_2026.pdf";"https://www.orulo.com.br/buildings/19676"
"20062";"Residencial Avenca";"Z15";"";"";"";"Madre Leopoldina de Santa Tereza";"Em construção";"107.35";"107.35";"650000";"";"";"";"";"";"Rafael";"(41) 97402-9094";"vendas@z15.com.br";"";"4";"4";"3";"";"";"1";"01/04/2021";"Apenas 2 quadras da Rua Francisco Derosso, próximo à pizzaria Baggio no Xaxim, o Residencial Avenca foi projetado buscando o melhor conforto e privacidade aos moradores. Isso pode ser percebido pelo f";"";"1";"";"";"";"Residencial_Avenca_Tabela_tabela_residencial_avenca_marco_2026.pdf";"https://www.orulo.com.br/buildings/20062"
"28283";"Croma";"Piemonte PR";"";"";"";"Jerônimo Durski";"Em construção";"68.26";"140.54";"853994";"";"";"";"";"";"Rogério Rodrigues ";"(41) 9289-1282";"rogerio.rodrigues@piemonte.com.br";"(41) 9289-1282";"4";"";"227";"";"";"30";"01/01/2022";"Um empreendimento perfeito para você e sua família. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"3";"";"";"";"Croma_Tabela_tabela_croma_marco_2026.pdf";"https://www.orulo.com.br/buildings/28283"
"28611";"Itá Rare Homes";"TM3 Incorporadora PR";"";"";"";"Moyses Marcondes";"Em construção";"96.16";"156.95";"1309422";"";"";"";"";"";"Welder";"(41) 9877-0183";"welder@tm3incorporadora.com.br";"(41) 9877-0183";"4";"";"17";"";"";"13";"01/05/2022";"Empreendimento no Juvevê com arquitetura inspirada na natureza, volumetria que remete à rocha esculpida e paisagismo que promove conforto e conexão com o entorno. Apartamentos com 2 e 3 suítes, planta";"";"4";"";"It_Rare_Homes_Book_Book_ita_rare_homes.pdf";"";"It_Rare_Homes_Tabela_tabela_ita_rare_homes_marco_2026.pdf";"https://www.orulo.com.br/buildings/28611"
"29167";"Sendai";"P. I. Empreendimentos";"";"";"";"Princesa Izabel";"Em construção";"67.65";"91.07";"870522";"";"";"";"";"";" Muggiati  ";"(41) 99969-5123";"";"(41) 99969-5123";"3";"";"55";"";"";"23";"01/01/2022";"A localização próxima à área central é um grande destaque para quem deseja um ambiente tranquilo, sem deixar de lado toda a agitação do centro. A arquitetura do SENDAI é contemporânea, projetada para ";"";"2";"";"";"";"Sendai_Tabela_tabela_sendai_marco_2026.pdf";"https://www.orulo.com.br/buildings/29167"
"30714";"OÁS Barigui";"GT Building";"";"";"";"Padre Anchieta";"Em construção";"164.73";"283.51";"3158320";"";"";"";"";"";"Leila Regina";"(41) 99186-1135";"leila.kuns@gtbuilding.com.br";"(41) 99186-1135";"4";"3";"60";"";"";"14";"01/01/2023";"Curitiba vai ganhar o seu edifício mais alto. Um verdadeiro oásis vertical, com localização privilegiada e uma vista inigualável do parque mais famoso da cidade. Preço e disponibilidade do imóvel suje";"";"1";"";"";"OS_Barigui_Folder_Folder_oas_barigui_2.pdf";"";"https://www.orulo.com.br/buildings/30714"
"31606";"La Défense";"Manhattan Empreendimentos Imobiliários";"";"";"";"Monsenhor Ivo Zanlorenzi";"Em construção";"124.12";"249.54";"1650000";"";"";"";"";"";"Lauana";"41 99947-2942";"engelhornlauana@gmail.com";"41 99947-2942";"4";"4";"36";"";"";"2";"01/08/2022";"No melhor do Ecoville, o conforto abraça a modernidade. Design e estilo que inspiram a sua vida. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"3";"";"";"";"La_Dfense_Tabela_tabela_la_defense_marco_2026.pdf";"https://www.orulo.com.br/buildings/31606"
"35183";"Uno Solare";"Pride";"";"";"";"Eduardo Carlos Pereira";"Em construção";"24.85";"60.11";"380400";"";"";"";"";"";"Caroline Bakaus";"(41) 98788-4381";"caroline.silva@construtorapride.com.br";"(41) 98788-4381";"4.5";"1.75";"188";"";"";"32";"01/10/2022";"Para morar ou investir, o seu imóvel pode ser incrível. Tenha tudo ao seu redor e encontre um refúgio para descansar apreciando a vida. Ao lado de dois shopping centers, supermercados e terminal do Po";"";"3";"";"";"";"Uno_Solare_Tabela_tabela_uno_solare_abril_2026.pdf";"https://www.orulo.com.br/buildings/35183"
"35302";"Concept Le Monde";"Realmarka Construções";"";"";"";"Desembargador Lauro Sodré Lopes";"Em construção";"51.12";"70";"569530.39";"";"";"";"";"";"Bruno Gilles";"(41)98842-6700";"plataforma2@realmarka.com.br";"(41)98842-6700";"4";"4";"200";"";"";"15";"28/07/2022";"O Concept Le Monde conta com uma arquitetura contemporânea atemporal, onde você vivenciará algo único e diferente de tudo que já viu. São 6 plantas disponíveis de até 70m², com opções de 2 ou 3 quarto";"";"5";"Concept_Le_Monde_Apresentação_Apresentacao_concept_le_monde_2.pdf";"";"";"Concept_Le_Monde_Tabela_tabela_concept_le_monde_abril_2026.pdf";"https://www.orulo.com.br/buildings/35302"
"35909";"Insight";"Vanguard PR";"";"";"";"Guararapes";"Em construção";"82";"94.93";"1298646.92";"";"";"";"";"";"Alexandre Santos";"(41) 98738-2069";"";"(41) 98738-2069";"";"";"106";"";"";"16";"17/09/2022";"INSIGHT é um empreendimento para quem transforma ideias em realização. Para quem sabe o valor do tempo e entende a importância de morar em um lugar que respeita o seu estilo de vida. Com arquitetura m";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/35909"
"36149";"Joy City Habitat";"Hype";"";"";"";"Joaquim Nabuco";"Em construção";"76.43";"76.43";"635442.48";"";"";"";"";"";"Rafaela Oliveira (suporte ao corretor)";"(41) 99905-0281";"rafaela.oliveira@sejahype.com.br";"(41) 99905-0281";"4";"";"40";"";"";"1";"01/09/2022";"Joy 40 unidades em torre única, com um elevador, distribuídas em cinco pavimentos de apartamentos e um ático com área comum, oferecendo 13 áreas de lazer. As opções de plantas incluem Studio, Loft, 2 ";"";"21";"";"";"";"Joy_City_Habitat_Tabela_tabela_joy_city_habitat_abril_2026.pdf";"https://www.orulo.com.br/buildings/36149"
"36157";"ÉQÜI";"Rottas Construtora";"";"";"";"Deputado Nilson Ribas";"Em construção";"65.13";"129.03";"883997";"";"";"";"";"";"RICARDO";"(41) 99983-1700";"ricardo.cesar@rottasvendas.com.br";"(41) 99983-1700";"4";"";"61";"";"";"10";"01/09/2022";"O ÉQÜI traz em sua estrutura lazer completo para você e sua família aproveitarem os momentos mais gostosos da vida, de forma plena. São 2 Salões de Festas sendo 1 com deck e Pub. Além de piscina, acad";"";"4";"";"";"";"QI_Tabela_tabela_equi_marco_2026.pdf";"https://www.orulo.com.br/buildings/36157"
"36358";"Meo Neoville";"Rottas Construtora";"";"";"";"José Marcelino da Silva Júnior";"Em construção";"52.3";"70.08";"493997";"";"";"";"";"";"RICARDO";"(41) 99983-1700";"ricardo.cesar@rottasvendas.com.br";"(41) 99983-1700";"4";"";"336";"";"";"14";"01/10/2022";"Todo conforto e segurança para você viver como sempre quis está aqui. Localizado no bairro planejado Neoville, uma das regiões com maior valorização da cidade, o MEO Neoville conta com uma infraestrut";"";"4";"";"";"";"Meo_Neoville_Tabela_tabela_meo_neoville_marco_2026.pdf";"https://www.orulo.com.br/buildings/36358"
"36902";"Noar";"Neolar";"";"";"";"Belém";"Em construção";"84.25";"173.77";"1594852.5";"";"";"";"";"";"Mônica";"(41) 99164-3399";"monicabaracat.imoveis@gmail.com";"(41) 99164-3399";"4";"4";"53";"";"";"18";"01/11/2022";"NOAR foi pensado para você. Seu projeto eleva a sensação de bem-estar. Permite res-pi-rar. Ideal para quem busca novos ares revestidos de uma arquitetura icônica, perto de tudo e distante do lugar-com";"";"2";"";"";"";"Noar_Tabela_tabela_noar_marco_2026.pdf";"https://www.orulo.com.br/buildings/36902"
"37103";"Lemme";"Bidese";"";"";"";"Professor Assis Gonçalves";"Em construção";"134.68";"312.49";"2567732.62";"";"";"";"";"";"Jessilyn Heep 41 9613-0515";"(41) 98816-3938";"plataforma@bidese.com.br";"(41) 98816-3938";"4";"4";"45";"";"";"9";"17/11/2022";"Tudo, menos o comum! Sofisticado, elegante, singular. Lemme nasce do movimento e do navegar, das ondas e do mar, das dunas, da inspiração dos traços soltos de desenhos livres. Contemporâneo, atemporal";"";"4";"";"";"";"Lemme_Tabela_tabela_lemme_marco_2026.pdf";"https://www.orulo.com.br/buildings/37103"
"37220";"Château de Vermont - Fase 1";"MRV PR";"";"";"";"Presidente Wenceslau Braz";"Em construção";"55.7";"72.25";"451990";"";"";"";"";"";"Rafael Padilha";"(41) 99161-7133";"";"(41) 99161-7133";"";"";"144";"";"";"7";"01/12/2022";"Para morar ou investir, uma evolução incontestável. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"3";"";"";"";"Chteau_de_Vermont_-_Fase_1_Tabela_tabela_chateau_de_vermont_-_fase_1_marco_2026.pdf";"https://www.orulo.com.br/buildings/37220"
"37883";"KAÁ";"Laguna";"";"";"";"Frederico Cantarelli";"Em construção";"181.4";"647.9";"4495978";"";"";"";"";"";"Karen Bittencourt";"(41) 99840-3137";"";"(41) 99840-3137";"4";"";"48";"";"";"12";"01/12/2022";"KAÁ do Tupi-Guarani, mata. Vem dos ares, tons e contornos únicos da natureza a inspiração para o novo imóvel-arte. No meio da cidade, um hectare inteiro rodeado de natureza, uma celebração ao palco on";"";"2";"";"";"";"KA_Tabela_tabela_kaa_marco_2026.pdf";"https://www.orulo.com.br/buildings/37883"
"38615";"Tibó - Residencial";"ImobCon Construtora";"";"";"";"Atílio Bório";"Em construção";"20.51";"34.18";"258530";"";"";"";"";"";"Fernando";"(41) 9559-8763";"comercial@imobcon.com";"(41) 9559-8763";"5";"";"127";"";"";"61";"30/09/2024";"Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"10";"";"Tib_-_Residencial_Book_Book_tibo_-_residencial_2.pdf";"";"Tib_-_Residencial_Tabela_tabela_tibo_-_residencial_marco_2026.pdf";"https://www.orulo.com.br/buildings/38615"
"38720";"High City Habitat 1 (Torre A e B)";"Hype";"";"";"";"Francisco Ader";"Em construção";"26.68";"66.04";"346161";"";"";"";"";"";"Rafaela Oliveira (suporte ao corretor)";"(41) 99905-0281";"rafaela.oliveira@sejahype.com.br";"(41) 99905-0281";"4";"";"130";"";"";"7";"01/02/2023";"High 200 unidades distribuídas em três torres, com térreo destinado a vagas de garagem e ático. 40 áreas de lazer. A Torre A possui 6 andares de apartamentos, totalizando 60 unidades, enquanto as Torr";"";"22";"";"";"";"High_City_Habitat_1_Torre_AeB_Tabela_tabela_high_city_habitat_1__torre_aeb__abril_2026.pdf";"https://www.orulo.com.br/buildings/38720"
"39980";"Ecco";"Porto Camargo";"";"";"";"Av. Monsenhor Ivo Zanlorenzi";"Em construção";"109.98";"543.06";"1518010";"";"";"";"";"";"Nicole Oliveira";"(41) 99957-1040";"suportecomercial1@portocamargo.com.br";"(41) 99957-1040";"4";"";"37";"";"";"27";"01/08/2023";"Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"5";"";"";"";"Ecco_Tabela_tabela_ecco_marco_2026.pdf";"https://www.orulo.com.br/buildings/39980"
"39981";"MD.7";"Porto Camargo";"";"";"";"Sete de Setembro";"Em construção";"23.62";"128.04";"349500";"";"";"";"";"";"Nicole Oliveira";"(41) 99957-1040";"suportecomercial1@portocamargo.com.br";"(41) 99957-1040";"4";"";"207";"";"";"78";"25/07/2023";"No centro de tudo que importa Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"5";"";"";"";"MD7_Tabela_tabela_md.7_marco_2026.pdf";"https://www.orulo.com.br/buildings/39981"
"40095";"Audace";"Pride";"";"";"";"Vinte e Quatro de Maio";"Em construção";"59.67";"177.44";"723900";"";"";"";"";"";"Caroline Bakaus";"(41) 98788-4381";"caroline.silva@construtorapride.com.br";"(41) 98788-4381";"5";"1.75";"83";"";"";"12";"01/02/2023";"Você merece uma vista única dos melhores dias da sua vida! Aproveite uma estrutura perfeita para criar o seu jeito de estar bem. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio";"";"4";"";"";"";"Audace_Tabela_tabela_audace_abril_2026.pdf";"https://www.orulo.com.br/buildings/40095"
"42556";"Hall Design";"Víncere";"";"";"";"Lysimaco Ferreira da Costa";"Em construção";"31.53";"64.38";"512013";"";"";"";"";"";"Krisellen Boaretto";"(41) 9903-2044";"comercial@vincereincoporadora.com.br";"(41) 9903-2044";"4";"";"114";"";"";"13";"01/03/2023";"Torre única, vista livre e privacidade. Concebida em bloco único e com volume compacto bem plantado no terreno, a torre apresenta a simetria dos gradis como princípio compositivo, que se alternam entr";"";"2";"";"";"";"Hall_Design_Tabela_tabela_hall_design_marco_2026.pdf";"https://www.orulo.com.br/buildings/42556"
"43306";"Cortina D'Ampezzo";"Poseidon Construções";"";"";"";"Sete de Abril";"Em construção";"97.47";"209.13";"1289814";"";"";"";"";"";"Bruno  ";"(41) 99921-1919";"bruno@imobini.com.br";"(41) 99921-1919";"4";"4";"21";"";"";"16";"03/09/2024";"Nada como desfrutar da vida com todo o conforto e aconchego que você e sua família merece, venha conheçer o residencial Cortina D’Ampezzo! Rua 07 de abril, 296 (Entre a Rua Fernando Amaro e Reinaldino";"";"3";"";"";"";"Cortina_DAmpezzo_Tabela_tabela_cortina_dampezzo_marco_2026.pdf";"https://www.orulo.com.br/buildings/43306"
"43504";"Mozine Wellness Design";"ATR Incorporadora PR";"";"";"";"São Pio X";"Em construção";"137";"137";"2107106.35";"";"";"";"";"";"Hellida Zepechouka";"(41) 98717-2416";"hellida.comercial@atrincorporadora.com.br";"(41) 98717-2416";"4";"";"26";"";"";"1";"19/06/2023";"Mais que um lançamento, a sua oportunidade de investir em qualidade de vida. Você não precisa escolher entre qualidade de vida e boa localização, no Mozine você tem os dois. Bem-estar não é apenas uma";"";"1";"";"";"";"Mozine_Wellness_Design_Tabela_tabela_mozine_wellness_design_marco_2026.pdf";"https://www.orulo.com.br/buildings/43504"
"43505";"Soul Urban Habitat";"Engsa";"";"";"";"Nossa Senhora de Nazaré";"Em construção";"89.14";"172.86";"909228";"";"";"";"";"";"Fabiano Cecato";"(41) 99619-8727";"fcmenge@gmail.com";"(41) 99619-8727";"4";"";"21";"";"";"12";"01/01/2026";"Soul Apenas 21 unidades no total, torre única, com um elevador que atende a demanda de transporte do empreendimento, térreo com vagas, sete andares de apartamentos, sendo três por andar, e ático com á";"";"16";"";"Soul_Urban_Habitat_Book_Book_soul_urban_habitat.pdf";"";"Soul_Urban_Habitat_Tabela_tabela_soul_urban_habitat_fevereiro_2026.pdf";"https://www.orulo.com.br/buildings/43505"
"44008";"Flag";"Porto Camargo";"";"";"";"Senador Souza Naves";"Em construção";"130.13";"225.78";"1691060";"";"";"";"";"";"Nicole Oliveira";"(41) 99957-1040";"suportecomercial1@portocamargo.com.br";"(41) 99957-1040";"4";"";"21";"";"";"15";"01/07/2024";"Flag é bandeira, um símbolo, um conceito. Grandes nomes a ergueram em momento únicos. O simples gesto de carregá-la já traz em si o merecimento pela luta e pelo esforço. Só quem viveu sabe como foi ch";"";"6";"";"";"";"Flag_Tabela_tabela_flag_marco_2026.pdf";"https://www.orulo.com.br/buildings/44008"
