"Carimbo de data/hora","Como você descreveria a marca da empresa em poucas palavras?","Quais valores você acredita que a marca representa no dia a dia de trabalho?","Você acha que a identidade da marca está alinhada com nossa cultura organizacional?","Quais aspectos da marca você considera mais fortes e quais poderiam ser melhorados?","Na sua opinião, o que diferencia nossa marca de outras empresas do mesmo setor?","Quão clara a cultura da empresa está para você?","Quão confortável você se sente com a sua equipe de trabalho?","O dia a dia de trabalho é agradável para você?","Como o seu trabalho na TBO impacta na sua vida pessoal?","Você se sente pertencente à nossa empresa?","O seu gestor é claro nas funções que delega?","A comunicação entre gestor e funcionários é transparente?","Na sua opinião, as suas entregas são valorizadas?","Você sente que a sua opinião é levada em consideração para a tomada de decisões?","Seu líder te incentiva a aprender e impulsionar sua carreira?","Quão satisfeito (a) você está com as funções desempenhadas no seu dia a dia? ","Em um contexto geral, você enxerga valor nas suas atividades para o sucesso do negócio?","Você se sente desafiado (a) no trabalho?","Você se sente sobrecarregado (a) com as suas atividades? ","Com qual frequência você se sente sobrecarregado (a)?","Você tem alguma sugestão do que podemos fazer para diminuir esse efeito de sobrecarga?","Você enxerga seu crescimento dentro da empresa?","Quão claro é o plano de carreira para a sua posição?","Você entende quais são as entregas ou ações necessárias para alcançar novas posições?","Você tem interesse em ocupar outros cargos dentro da organização?","Qual é o cargo que você busca atingir no curto-médio prazo?","O ambiente de trabalho é adequado para realizar as suas atividades?","Você possui acesso a todas ferramentas físicas e digitais para desempenhar as suas funções? ","Na sua opinião, existem melhorias ergonômicas para serem feitas?","Na sua opinião, quão eficiente é o home office?","Você acredita que encontros presenciais são importantes? ","De quais equipamentos ou ferramentas você sente falta? ","Quais melhorias ergonômicas você sente que precisa?","Quais atividades presenciais fazem mais sentido para você?","Você está satisfeito (a) com a sua remuneração? ","Você acha que o seu salário é justo para as atividades que você desempenha? ","Se existe algum benefício que você sente falta de receber, qual seria? ","As formas de bonificações adicional fazem sentido para você?","Você gostaria de dar alguma ideia ou sugestão para a diretoria?","Existe algum ponto de atenção que você gostaria de comentar? ","Quão feliz você se sente na empresa? ","Trabalhar aqui é motivo de orgulho para você?","Onde você vê a TBO nos próximos anos?"
"2024/10/22 9:56:04 AM GMT-3","","","","","","5","5","4","4","Sim","Para as demandas de audiovisual, devemos alinhar a comunicação entre todos os envolvidos. Sugiro agendarmos uma call para discutir ideias e expectativas do cliente antes de fazermos o orçamento. ","Sim","Sim","Sim","Sim","5","Sim","Sim","Talvez","3"," Para diminuir a sobrecarga, podemos fortalecer ainda mais essa comunicação e definir prioridades claras para as demandas.","Sim","5","Sim","Sim","Diretora do setor de Audiovisual/ Responsável pela frente Internacional (Pensando em longo prazo e no que eu acredito, rsrs) ","Sim","Sim","Sim","4","Essa questão é muito importante, e embora seja uma pequena dor em minha realidade, fico muito feliz quando existe  os encontros entre a equipe e  também com os nossos clientes, o presencial traz mais conexão, conforto e são muito positivos para o processo como um todo. ","","","","Minha realidade é diferente por estar morando em outro país, mas acabei de receber uma promoção e sou muito grata por isso. Quando entrei no mundo TBO, estava disposta a me envolver e dar o meu melhor. Acredito na empresa e no seu potencial, e estou certa de que o crescimento vem para todos com o tempo.","Dentro da realidade da agência, sim. ","Não ","Sim","Entendo que estamos aprimorando alguns processos internos para uma melhoria geral. E percebo que nosso time está alinhado e os diretores estão se aproximando cada vez mais, o que é fundamental para a fluidez da agência como um todo. E confesso que desde que eu me tornei membro da agência TBO já existiu uma melhoria de grande escala, e gostaria de trazer isso nesse momento. ","Por mais que não tenhamos um setor de audiovisual formal, oferecemos esse serviço, e percebo que há dificuldades em lidar com essa demanda. Estou aqui para ajudar sempre que surgir um pedido do cliente. Precisamos gerar ideias, que levam tempo para se desenvolver, e depois pesquisar os custos para viabilizá-las. É importante que cada vídeo esteja conectado com uma campanha, precisamos desenvolver esse lado e juntos vamos conseguir. ","5","Sim","Vejo a TBO como uma referência no mercado, expandindo os serviços e horizontes, possivelmente até com uma frente internacional. Acredito que, nos próximos cinco anos, estaremos inovando e fazendo a diferença, conquistando premiações e com o nome  consolidando, portfólio gigantesco atendendo as maiores construtoras do mercado. "
"2024/10/22 9:58:45 AM GMT-3","","","","","","5","4","4","5","Sim","Talvez","Sim","Talvez","Sim","Sim","4","Sim","Sim","Não","","","Sim","5","Sim","Sim","Artista 3D/Designer Senior","Sim","Sim","Talvez","5","Talvez","","","Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Sim","Sim","No momento, não me vem à mente um benefício específico. Porém, algum incentivo em cursos online, pode ser uma boa.","Sim","","","4","Sim","Fechando com o triplo de projetos gigantes, tanto nacional quanto internacional. "
"2024/10/22 11:57:16 AM GMT-3","","","","","","5","5","4","4","Sim","Sim","Sim","Sim","Sim","Sim","4","Sim","Sim","Talvez","3","Mais contratações para a equipe","Sim","4","Sim","Sim","Gerente de Produção","Sim","Talvez","Não","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Não","Não","Férias remuneradas (1 mês) ","Sim","melhorar o instagram e marketing, publicar mais os nossos melhores trabalhos, transformar em uma vitrine de luxo","","4","As vezes, temos que tomar mais cuidado com os trabalhos que publicamos, nem todo trabalho é bom ou dá orgulho pois alguns clientes estragam muito o processo criativo e o nosso potencial. ","triplicando o valor por imagem. BU's novas estruturadas, todas trazendo um grande valor de capital para dentro da empresa, não só o render/3D"
"2024/10/23 9:29:47 AM GMT-3","","","","","","4","4","5","5","Sim","Talvez","Sim","Talvez","Talvez","Sim","5","Sim","Sim","Não","","","Talvez","3","Não","Sim","Líder de Equipe - Coordenador","Sim","Sim","Sim","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Não","Talvez","plano de saúde + vale alimentação ou refeição","Sim","N/A","Horários em reuniões (pontualidade)","5","Sim","Referência nacional e possivelmente global entre as agências/empresas do segmento."
"2024/10/23 12:49:22 PM GMT-3","","","","","","4","5","4","3","Sim","Sim","Sim","Sim","Sim","Sim","4","Sim","Sim","Sim","3","No meu setor, algo que eu conversei algumas vezes com o Felipe foi sobre dividir as responsabilidades, sentia que muita coisa era cobrada apenas de mim, mas nos últimos dias notei alguma mudança já dentro da equipe, principalmente em relação ao meu colega.","Sim","4","Sim","No momento estou saindo da empresa, mas sim tinha interesse em outros cargos","","Sim","Sim","Não","5","Não","","","","Não","Não","Vale alimentação","Sim","Apenas seguir com as ideias de crescimento que já estão sendo desenvolvidas, vejo que está sendo feito um ótimo trabalho.","Não","4","Sim","Desde que eu conheci a TBO em 2021 se tornou, pra mim, uma referência principalmente na área de 3D. Eu acho que o início do crescimento da TBO se deu nesse ano de 2024 e pros próximos anos vejo a TBO sendo referência não só pra mim, mas pro setor de archviz e lançamentos imobiliários"
"2024/10/23 2:53:13 PM GMT-3","","","","","","3","5","5","4","Sim","Sim","Sim","Sim","Sim","Sim","4","Sim","Sim","Não","","","Sim","4","Sim","Sim","Líder de Equipe - Coordenador","Acredito que o híbrido agregaria na performance da empresa","Não","Sim","3","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo","Ser mais bem remunerado é o meu objetivo","Sim","gympass","Sim","","Velocidade na comunicação","4","Sim","Líder no estado do paraná e entre os maiores do sul, com atuação na América do Sul, EUA e Europa"
"2024/10/23 4:43:41 PM GMT-3","","","","","","4","5","5","5","Sim","Sim","Sim","Sim","Sim","Sim","5","Sim","Sim","Não","","","Sim","5","Sim","Sim","Artista 3D/Designer Senior","Sim","Sim","Não","5","Sim","","","Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras)","Sim","Sim","Se tivesse um Decimo Terceiro iria ser legal kk..","Sim","Acho que seria legal temos assinatura de alguns bancos de imagens e elementos pago como o Freepik , shutterstock ou Envato Elements.","por enqaunto não","5","Sim","Me vejo um Designer Senior envolvido ainda mais nos projetos da empresa e criando projetos de orgulho e impacto na comunicade."
"2024/10/24 9:46:34 AM GMT-3","","","","","","3","5","5","4","Sim","Sim","Sim","Sim","Sim","Sim","5","Sim","Sim","Não","","","Sim","3","Não","Talvez","Product/Project Owner","Sim","Talvez","Não","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Happy Hour para integração","Não","Talvez","Acredito que o benefício poderia ser interpretado como aumento salarial.","Talvez","Investir em ações culturais da empresa, trazendo transparência sobre o momento atual e os caminhos que a empresa pode tomar.","","5","Sim","Sendo a agência top #1 de Curitiba e top #3 no sul do Brasil."
"2024/10/24 6:38:09 PM GMT-3","","","","","","5","5","4","4","Sim","Sim","Sim","Sim","Sim","Sim","5","Sim","Sim","Sim","5","contratar um BPO, um assistente administrativo e um SDR","Sim","5","Sim","Não","","Sim","Sim","Sim","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Sim","Sim","plano de saúde","Talvez","","","5","Sim","Sendo uma referência no mercado brasileiro"
"2024/10/29 8:54:03 AM GMT-3","","","","","","4","5","5","3","Sim","Sim","Sim","Sim","Talvez","Sim","4","Sim","Sim","Não","","","Sim","3","Sim","Sim","Líder de Equipe - Coordenador","Sim","Sim","Não","5","Talvez","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras)","Não","Não","Gympass, plano de saúde","Talvez","","","4","Sim","A nova Elephant Skin"
